State,EV,Trump,Clinton,Others
AL,9,1318255,729547,75570
AK,3,163387,116454,38767
AZ,11,1252401,1161167,159597
AR,6,684872,380494,65310
CA,55,4483814,8753792,943998
CO,9,1202484,1338870,238893
CT,7,673215,897572,74133
DE,3,185127,235603,23084
DC,3,12723,282830,15715
FL,29,4617886,4504975,297178
GA,16,2089104,1877963,147665
HI,4,128847,266891,33199
ID,4,409055,189765,91435
IL,20,2146015,3090729,299680
IN,11,1557286,1033126,144546
IA,6,800983,653669,111379
KS,6,671018,427005,86379
KY,8,1202971,628854,92324
LA,8,1178638,780154,70240
ME,4,335593,357735,54599
MD,10,943169,1677928,160349
MA,11,1090893,1995196,238957
MI,16,2279543,2268839,250902
MN,10,1322951,1367716,254146
MS,6,700714,485131,23512
MO,10,1594511,1071068,143026
MT,3,279240,177709,40198
NE,5,495961,284494,63772
NV,6,512058,539260,74067
NH,4,345790,348526,49980
NJ,14,1601933,2148278,123835
NM,5,319667,385234,93418
NY,29,2819533,4556118,345791
NC,15,2362631,2189316,189617
ND,3,216794,93758,33808
OH,18,2841005,2394164,261318
OK,7,949136,420375,83481
OR,7,782403,1002106,216827
PA,20,2970733,2926441,268304
RI,4,180543,252525,31076
SC,9,1155389,855373,92265
SD,3,227721,117458,24914
TN,11,1522925,870695,114407
TX,38,4685047,3877868,406311
UT,6,515231,310676,305523
VT,3,95369,178573,41125
VA,13,1769443,1981473,233715
WA,12,1221747,1742718,352554
WV,5,489371,188794,36258
WI,10,1405284,1382536,188330
WY,3,174419,55973,25457
